"","metodologia","mse","accuracy","n","seed"
"336","Lasso mod 200",23.0090876023511,0.64,736,34
"337","Lasso mod 100",23.0090876023511,0.64,736,34
"338","Lasso mod 50",23.5176551556905,0.62,836,34
"339","Naive",23.4682479344556,0.4,200,34
"340","Oracle",21.8936724575825,1,511,34
"341","Lasso",13.1915518337018,0.68,418,35
"342","Ada Lasso",14.6917705366942,0.74,1150,35
"343","Local prior",14.8868613307792,0.72,1314,35
"344","Non local",15.2646555937443,0.72,1840,35
"345","Lasso mod 10000",13.5994971133191,0.5,306,35
"346","Lasso mod 200",13.473777677399,0.66,681,35
"347","Lasso mod 100",13.5631725075266,0.64,707,35
"348","Lasso mod 50",13.7615433870035,0.68,876,35
"349","Naive",13.485056630544,0.4,200,35
"350","Oracle",12.7850059453892,1,511,35
"351","Lasso",27.3329212011568,0.72,968,36
"352","Ada Lasso",27.6493615092662,0.7,1415,36
"353","Local prior",27.7242231558121,0.72,1840,36
"354","Non local",30.7276707855901,0.7,2044,36
"355","Lasso mod 10000",26.456106559215,0.8,920,36
"356","Lasso mod 200",30.0274882387695,0.72,1840,36
"357","Lasso mod 100",26.9064198898344,0.78,968,36
"358","Lasso mod 50",27.3751599328578,0.74,1415,36
"359","Naive",29.2270322329534,0.4,200,36
"360","Oracle",25.9024526486421,1,557,36
"361","Lasso",6.48308714588531,0.78,484,37
"362","Ada Lasso",6.42113070101288,0.9,681,37
"363","Local prior",7.63463199168167,0.8,1082,37
"364","Non local",7.63856196774364,0.76,1082,37
"365","Lasso mod 10000",6.48308714588531,0.78,484,37
"366","Lasso mod 200",6.41989420383166,0.78,557,37
"367","Lasso mod 100",6.41989420383166,0.78,557,37
"368","Lasso mod 50",9.62196240875546,0.68,2300,37
"369","Naive",7.05992205568081,0.4,200,37
"370","Oracle",6.31906576040368,1,525,37
"371","Lasso",22.5899888556505,0.74,497,38
"372","Ada Lasso",25.6076356684173,0.66,1533,38
"373","Local prior",25.712531479343,0.66,2044,38
"374","Non local",26.5152190745832,0.66,2044,38
"375","Lasso mod 10000",24.0825009863698,0.52,353,38
"376","Lasso mod 200",24.3973693319173,0.64,1082,38
"377","Lasso mod 100",24.3973693319173,0.64,1082,38
"378","Lasso mod 50",24.3973693319173,0.64,1082,38
"379","Naive",24.6170007242336,0.4,200,38
"380","Oracle",22.0649012353902,1,497,38
"381","Lasso",31.7543839875548,0.58,368,39
"382","Ada Lasso",31.4737596569109,0.66,448,39
"383","Local prior",33.6492704530737,0.72,1314,39
"384","Non local",37.5746596940351,0.62,2044,39
"385","Lasso mod 10000",32.1433566706021,0.68,557,39
"386","Lasso mod 200",31.8018408480695,0.7,593,39
"387","Lasso mod 100",33.0755930649245,0.74,1022,39
"388","Lasso mod 50",33.0755930649245,0.74,1022,39
"389","Naive",34.3301153920089,0.4,200,39
"390","Oracle",28.9572215277913,1,541,39
"391","Lasso",11.5951563041189,0.74,541,40
